country,year,production_kbbl_day
Canada,1965,920.0
Canada,1966,1012.0
Canada,1967,1106.0
Canada,1968,1194.0
Canada,1969,1306.0
Canada,1970,1473.0
Canada,1971,1582.0
Canada,1972,1829.0
Canada,1973,2114.0
Canada,1974,1993.0
Canada,1975,1735.0
Canada,1976,1598.0
Canada,1977,1608.0
Canada,1978,1597.0
Canada,1979,1835.0
Canada,1980,1764.0
Canada,1981,1610.0
Canada,1982,1590.0
Canada,1983,1661.0
Canada,1984,1775.0
Canada,1985,1812.795211
Canada,1986,1805.117462
Canada,1987,1908.769948
Canada,1988,2002.418514
Canada,1989,1961.456228
Canada,1990,1967.735671
Canada,1991,1983.505343
Canada,1992,2065.57906
Canada,1993,2189.010303
Canada,1994,2281.334789
Canada,1995,2402.127813
Canada,1996,2479.917424
Canada,1997,2587.590283
Canada,1998,2672.381339
Canada,1999,2604.399595
Canada,2000,2883.728714
Canada,2001,2894.519207
Canada,2002,3011.468329
Canada,2003,3156.573402
Canada,2004,3230.070441
Canada,2005,3188.008669
Canada,2006,3359.120817
Canada,2007,3433.05625
Canada,2008,3341.448209
Canada,2009,3330.725337
Canada,2010,3456.807609
Canada,2011,3636.742724
Canada,2012,3859.869534
Canada,2013,4127.940755
Canada,2014,4418.059568
Canada,2015,4572.266772
Canada,2016,4655.475875
Canada,2017,5037.332018
Canada,2018,5500.678681
Canada,2019,5650.772745
Canada,2019,0.027286
Canada,2019,0.059362
Mexico,1965,362.0
Mexico,1966,370.0
Mexico,1967,411.0
Mexico,1968,439.0
Mexico,1969,461.0
Mexico,1970,487.0
Mexico,1971,486.0
Mexico,1972,506.0
Mexico,1973,525.0
Mexico,1974,653.0
Mexico,1975,806.0
Mexico,1976,894.0
Mexico,1977,1085.0
Mexico,1978,1327.0
Mexico,1979,1607.0
Mexico,1980,2129.0
Mexico,1981,2553.0
Mexico,1982,3001.0
Mexico,1983,2930.0
Mexico,1984,2942.0
Mexico,1985,2912.0
Mexico,1986,2758.0
Mexico,1987,2879.0
Mexico,1988,2877.0
Mexico,1989,2897.0
Mexico,1990,2940.776929
Mexico,1991,3099.631422
Mexico,1992,3098.273033
Mexico,1993,3115.344899
Mexico,1994,3135.955619
Mexico,1995,3054.768086
Mexico,1996,3270.057022
Mexico,1997,3408.626121
Mexico,1998,3498.555624
Mexico,1999,3351.690314
Mexico,2000,3455.945608
Mexico,2001,3568.128043
Mexico,2002,3592.648327
Mexico,2003,3794.699589
Mexico,2004,3830.180329
Mexico,2005,3765.620805
Mexico,2006,3689.125731
Mexico,2007,3478.530384
Mexico,2008,3165.327712
Mexico,2009,2978.494802
Mexico,2010,2959.36648
Mexico,2011,2940.31338
Mexico,2012,2911.097981
Mexico,2013,2874.752731
Mexico,2014,2784.200879
Mexico,2015,2586.540847
Mexico,2016,2455.799498
Mexico,2017,2224.15016
Mexico,2018,2068.371143
Mexico,2019,1918.142825
Mexico,2019,-0.072631
Mexico,2019,0.02015
US,1965,9014.148
US,1966,9579.241
US,1967,10219.252
US,1968,10599.743
US,1969,10827.674
US,1970,11296.849
US,1971,11155.778
US,1972,11184.896
US,1973,10945.953
US,1974,10461.205
US,1975,10007.737
US,1976,9735.639
US,1977,9862.562
US,1978,10274.441
US,1979,10135.534
US,1980,10169.626
US,1981,10180.573
US,1982,10198.534
US,1983,10246.668
US,1984,10508.951
US,1985,10580.378
US,1986,10231.142
US,1987,9943.978
US,1988,9764.689
US,1989,9159.077
US,1990,8914.307
US,1991,9075.545
US,1992,8868.125
US,1993,8582.665
US,1994,8388.579
US,1995,8321.639
US,1996,8294.527
US,1997,8268.592
US,1998,8010.833
US,1999,7731.458
US,2000,7732.658645
US,2001,7669.609219
US,2002,7624.338274
US,2003,7368.447945
US,2004,7250.243956
US,2005,6900.783644
US,2006,6824.858521
US,2007,6856.691781
US,2008,6783.35406
US,2009,7266.706959
US,2010,7558.36711
US,2011,7882.727589
US,2012,8926.461541
US,2013,10098.679
US,2014,11801.448342
US,2015,12780.997014
US,2016,12348.541169
US,2017,13134.853658
US,2018,15359.943712
US,2019,17044.601699
