date,price
1968-03-31,230.4000
1968-04-30,234.9000
1968-05-31,236.4000
1968-06-30,258.6000
1968-07-31,247.2000
1968-08-31,248.7000
1968-09-30,250.7000
1968-10-31,229.0000
1968-11-30,238.3000
1968-12-31,244.4000
1969-01-31,247.5000
1969-02-28,234.4000
1969-03-31,228.0000
1969-04-30,179.1000
1969-05-31,172.7000
1969-06-30,152.5000
1969-07-31,154.2000
1969-08-31,154.0000
1969-09-30,163.9000
1969-10-31,171.7000
1969-11-30,180.1000
1969-12-31,158.9000
1970-01-31,167.3000
1970-02-28,176.2000
1970-03-31,185.5000
1970-04-30,160.6000
1970-05-31,148.0000
1970-06-30,147.0000
1970-07-31,145.6000
1970-08-31,142.2000
1970-09-30,127.8000
1970-10-31,118.4000
1970-11-30,115.5000
1970-12-31,122.5000
1971-01-31,98.7000
1971-02-28,106.8000
1971-03-31,107.6000
1971-04-30,104.4000
1971-05-31,114.0000
1971-06-30,112.0000
1971-07-31,117.4000
1971-08-31,112.1000
1971-09-30,114.8000
1971-10-31,103.8000
1971-11-30,107.6000
1971-12-31,108.8000
1972-01-31,99.2000
1972-02-29,97.2000
1972-03-31,104.3000
1972-04-30,100.1000
1972-05-31,110.6000
1972-06-30,143.6000
1972-07-31,142.5000
1972-08-31,153.8000
1972-09-30,137.2000
1972-10-31,129.7000
1972-11-30,139.2000
1972-12-31,142.6000
1973-01-31,138.2000
1973-02-28,166.3000
1973-03-31,141.1000
1973-04-30,138.2000
1973-05-31,155.4000
1973-06-30,160.4000
1973-07-31,172.7000
1973-08-31,164.8000
1973-09-30,171.2000
1973-10-31,161.4000
1973-11-30,158.9000
1973-12-31,162.8000
1974-01-31,191.0000
1974-02-28,276.3000
1974-03-31,244.7000
1974-04-30,235.4000
1974-05-31,208.2000
1974-06-30,201.8000
1974-07-31,213.7000
1974-08-31,183.1000
1974-09-30,190.5000
1974-10-31,185.5000
1974-11-30,182.6000
1974-12-31,162.8000
1975-01-31,147.0000
1975-02-28,152.5000
1975-03-31,152.5000
1975-04-30,143.3000
1975-05-31,150.9000
1975-06-30,155.4000
1975-07-31,171.4000
1975-08-31,160.9000
1975-09-30,160.2000
1975-10-31,146.6000
1975-11-30,146.0000
1975-12-31,147.4000
1976-01-31,138.2000
1976-02-29,136.6000
1976-03-31,137.3000
1976-04-30,158.9000
1976-05-31,161.8000
1976-06-30,174.8000
1976-07-31,164.8000
1976-08-31,156.4000
1976-09-30,161.8000
1976-10-31,155.2000
1976-11-30,154.1000
1976-12-31,150.0000
1977-01-31,157.7000
1977-02-28,166.3000
1977-03-31,162.4000
1977-04-30,157.0000
1977-05-31,154.8000
1977-06-30,152.0000
1977-07-31,149.1000
1977-08-31,146.8000
1977-09-30,154.4000
1977-10-31,169.3000
1977-11-30,174.2000
1977-12-31,186.7000
1978-01-31,216.8000
1978-02-28,227.3000
1978-03-31,226.7000
1978-04-30,209.7000
1978-05-31,252.9000
1978-06-30,238.3000
1978-07-31,265.1000
1978-08-31,258.2000
1978-09-30,283.1000
1978-10-31,375.6000
1978-11-30,319.9000
1978-12-31,349.9000
1979-01-31,379.7000
1979-02-28,409.2000
1979-03-31,380.7000
1979-04-30,403.1000
1979-05-31,441.5000
1979-06-30,416.2000
1979-07-31,375.8000
1979-08-31,419.7000
1979-09-30,561.8000
1979-10-31,475.2000
1979-11-30,538.0000
1979-12-31,683.5000
1980-01-31,821.1000
1980-02-29,908.0000
1980-03-31,576.5000
1980-04-30,559.6000
1980-05-31,587.5000
1980-06-30,689.0000
1980-07-31,632.6000
1980-08-31,654.5000
1980-09-30,704.4000
1980-10-31,648.7000
1980-11-30,635.4000
