date,price
1968-01-31,2.0700
1968-02-29,2.2100
1968-03-31,2.2600
1968-04-30,2.5000
1968-05-31,2.5700
1968-06-30,2.6300
1968-07-31,2.3200
1968-08-31,2.3500
1968-09-30,2.2000
1968-10-31,2.0800
1968-11-30,2.0900
1968-12-31,2.1000
1969-01-31,2.1100
1969-02-28,1.9000
1969-03-31,1.8900
1969-04-30,1.8100
1969-05-31,1.8100
1969-06-30,1.7000
1969-07-31,1.7000
1969-08-31,1.7600
1969-09-30,1.9900
1969-10-31,2.1800
1969-11-30,2.1000
1969-12-31,1.9700
1970-01-31,2.0400
1970-02-28,2.0100
1970-03-31,1.9800
1970-04-30,1.7600
1970-05-31,1.6400
1970-06-30,1.6400
1970-07-31,1.8300
1970-08-31,1.8900
1970-09-30,1.6900
1970-10-31,1.8600
1970-11-30,1.6300
1970-12-31,1.6600
1971-01-31,1.6000
1971-02-28,1.6500
1971-03-31,1.7500
1971-04-30,1.7300
1971-05-31,1.6600
1971-06-30,1.5900
1971-07-31,1.6300
1971-08-31,1.5100
1971-09-30,1.4400
1971-10-31,1.3300
1971-11-30,1.3600
1971-12-31,1.3800
1972-01-31,1.5600
1972-02-29,1.5000
1972-03-31,1.6100
1972-04-30,1.6200
1972-05-31,1.5500
1972-06-30,1.5800
1972-07-31,1.8400
1972-08-31,1.9300
1972-09-30,1.7900
1972-10-31,1.8800
1972-11-30,1.9100
1972-12-31,2.0500
1973-01-31,2.0700
1973-02-28,2.5800
1973-03-31,2.2400
1973-04-30,2.2100
1973-05-31,2.7100
1973-06-30,2.8100
1973-07-31,3.0300
1973-08-31,2.7500
1973-09-30,2.8700
1973-10-31,2.9300
1973-11-30,3.0200
1973-12-31,3.3000
1974-01-31,4.1500
1974-02-28,5.9600
1974-03-31,5.5600
1974-04-30,5.7400
1974-05-31,4.9300
1974-06-30,4.8000
1974-07-31,5.2600
1974-08-31,4.2900
1974-09-30,4.5300
1974-10-31,5.1500
1974-11-30,4.7400
1974-12-31,4.7000
1975-01-31,4.3200
1975-02-28,4.6500
1975-03-31,4.3900
1975-04-30,4.3700
1975-05-31,4.5200
1975-06-30,4.6700
1975-07-31,5.1900
1975-08-31,4.9600
1975-09-30,4.8100
1975-10-31,4.5000
1975-11-30,4.3900
1975-12-31,4.4300
1976-01-31,4.1200
1976-02-29,4.3600
1976-03-31,4.1400
1976-04-30,4.6600
1976-05-31,4.8800
1976-06-30,4.8900
1976-07-31,4.6400
1976-08-31,4.2100
1976-09-30,4.5200
1976-10-31,4.4500
1976-11-30,4.5400
1976-12-31,4.5900
1977-01-31,4.7000
1977-02-28,4.9500
1977-03-31,5.0100
1977-04-30,4.9300
1977-05-31,4.7000
1977-06-30,4.6000
1977-07-31,4.6700
1977-08-31,4.5400
1977-09-30,4.8300
1977-10-31,5.1600
1977-11-30,4.8500
1977-12-31,4.8500
1978-01-31,5.4400
1978-02-28,5.5600
1978-03-31,6.0800
1978-04-30,5.5000
1978-05-31,5.9200
1978-06-30,5.6100
1978-07-31,6.3500
1978-08-31,5.9900
1978-09-30,6.2400
1978-10-31,6.7600
1978-11-30,6.6100
1978-12-31,6.3800
1979-01-31,7.2100
1979-02-28,7.8300
1979-03-31,7.9800
1979-04-30,8.0900
1979-05-31,8.7700
1979-06-30,8.7800
1979-07-31,9.4900
1979-08-31,10.8600
1979-09-30,17.1900
1979-10-31,17.3600
1979-11-30,19.2700
1979-12-31,29.0500
1980-01-31,35.7500
1980-02-29,36.3400
1980-03-31,19.0500
1980-04-30,13.0000
1980-05-31,13.9500
1980-06-30,16.9000
1980-07-31,15.5500
1980-08-31,16.8400
1980-09-30,21.2500
1980-10-31,19.1000
1980-11-30,19.4500
